DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	lineage
COLOR	#1f78b4

LEGEND_TITLE	lineage
LEGEND_SHAPES	1	1
LEGEND_COLORS	#a6cee3	#1f78b4
LEGEND_LABELS	A	B

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
ERR502233	#1f78b4	B
ERR9837200	#1f78b4	B
SRR3360677	#1f78b4	B
ERR439373	#1f78b4	B
SRR1661263	#1f78b4	B
FA19	#1f78b4	B
SRR3360890	#1f78b4	B
GCGS0348	#1f78b4	B
SRR13429265	#1f78b4	B
ERR7977644	#1f78b4	B
ERR3325260	#1f78b4	B
ERR9839429	#1f78b4	B
ERR9837541	#1f78b4	B
SRR3360687	#1f78b4	B
ERR439304	#1f78b4	B
ERR439293	#1f78b4	B
AUNG1065	#1f78b4	B
SRR13429227	#1f78b4	B
ERR502215	#1f78b4	B
GCGS0305	#1f78b4	B
ERR439308	#1f78b4	B
ERR779837	#1f78b4	B
ERR439325	#1f78b4	B
SRR11904618	#1f78b4	B
SRR9985746	#1f78b4	B
25818_3_361	#1f78b4	B
25818_2_222	#1f78b4	B
GCGS0373	#1f78b4	B
SRR11904810	#1f78b4	B
FFF047	#1f78b4	B
ERR449482	#1f78b4	B
ERR449585	#1f78b4	B
ERR439326	#1f78b4	B
ERR1528195	#1f78b4	B
ERR9839443	#1f78b4	B
SRR3360872	#1f78b4	B
ERR9838458	#1f78b4	B
ERR9838966	#1f78b4	B
ERR502228	#1f78b4	B
ERR449484	#1f78b4	B
ERR9839159	#1f78b4	B
FL43	#1f78b4	B
ERR9837436	#1f78b4	B
POA56	#1f78b4	B
ERR7986854	#1f78b4	B
FL14	#1f78b4	B
SRR5827092	#1f78b4	B
SRR5827197	#1f78b4	B
GCGS0474	#1f78b4	B
GCGS0454	#1f78b4	B
ERR1528236	#1f78b4	B
SRR1661291	#1f78b4	B
25818_2_184	#1f78b4	B
SRR3360876	#1f78b4	B
ERR449497	#1f78b4	B
BH33	#1f78b4	B
ERR9837788	#1f78b4	B
ERR1602751	#1f78b4	B
SRR11904288	#1f78b4	B
DRR248401	#1f78b4	B
ERR439295	#1f78b4	B
MA45	#1f78b4	B
GCGS0377	#1f78b4	B
GCGS0599	#1f78b4	B
ERR349895	#1f78b4	B
ERR7987167	#1f78b4	B
DRR248403	#1f78b4	B
GCGS0423	#1f78b4	B
DRR248416	#1f78b4	B
DRR248439	#1f78b4	B
ERR779772	#1f78b4	B
GCGS0200	#1f78b4	B
GCGS0304	#1f78b4	B
ERR388438	#1f78b4	B
ERR388446	#1f78b4	B
25825_2_44	#1f78b4	B
SRR3360647	#1f78b4	B
ERR9839412	#1f78b4	B
ERR1143710	#1f78b4	B
ERR449505	#1f78b4	B
GCGS0465	#1f78b4	B
SRR9985872	#1f78b4	B
25818_2_207	#1f78b4	B
ERR449574	#1f78b4	B
ERR502213	#1f78b4	B
GCGS0439	#1f78b4	B
GCGS0307	#1f78b4	B
ERR449514	#1f78b4	B
ERR7975949	#1f78b4	B
Eth13-2021	#1f78b4	B
Eth08-2021	#1f78b4	B
Eth06-2021	#1f78b4	B
