DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	ethiopia
COLOR	#808080

LEGEND_TITLE	ethiopia
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdbf6f	#808080
LEGEND_LABELS	Ethiopia	Representative genomes

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
SRR13305407	#808080	Representative genomes
SRR13305408	#808080	Representative genomes
SRR13305414	#808080	Representative genomes
SRR13305415	#808080	Representative genomes
SRR13305419	#808080	Representative genomes
SRR13305420	#808080	Representative genomes
SRR13305428	#808080	Representative genomes
SRR13305429	#808080	Representative genomes
SRR13305432	#808080	Representative genomes
SRR13305433	#808080	Representative genomes
SRR13305434	#808080	Representative genomes
SRR13305435	#808080	Representative genomes
SRR13305439	#808080	Representative genomes
SRR13305446	#808080	Representative genomes
SRR13429227	#808080	Representative genomes
SRR13429245	#808080	Representative genomes
SRR13429265	#808080	Representative genomes
SRR1661154	#808080	Representative genomes
SRR1661156	#808080	Representative genomes
SRR1661157	#808080	Representative genomes
SRR1661179	#808080	Representative genomes
SRR1661182	#808080	Representative genomes
SRR1661263	#808080	Representative genomes
SRR1661291	#808080	Representative genomes
SRR1661319	#808080	Representative genomes
SRR1661322	#808080	Representative genomes
SRR2736105	#808080	Representative genomes
SRR2736118	#808080	Representative genomes
SRR2736142	#808080	Representative genomes
SRR2736154	#808080	Representative genomes
SRR3343540	#808080	Representative genomes
SRR3349197	#808080	Representative genomes
SRR3349919	#808080	Representative genomes
SRR3350180	#808080	Representative genomes
SRR3357289	#808080	Representative genomes
SRR3360629	#808080	Representative genomes
SRR3360630	#808080	Representative genomes
SRR3360647	#808080	Representative genomes
SRR3360677	#808080	Representative genomes
SRR3360687	#808080	Representative genomes
SRR3360688	#808080	Representative genomes
SRR3360713	#808080	Representative genomes
SRR3360872	#808080	Representative genomes
SRR3360876	#808080	Representative genomes
SRR3360890	#808080	Representative genomes
SRR3360982	#808080	Representative genomes
SRR3361352	#808080	Representative genomes
SRR3361357	#808080	Representative genomes
SRR5827030	#808080	Representative genomes
SRR5827058	#808080	Representative genomes
SRR5827063	#808080	Representative genomes
SRR5827065	#808080	Representative genomes
SRR5827092	#808080	Representative genomes
